date,fees_block_mean,fees_block_mean_usd,fees_total,fees_total_usd,fees_reward_percent,addresses_count_active,addresses_count_sender,addresses_count_receiver,open,high,low,close,volume,transactions_count_total,transactions_count_mean
2023-08-01,0.0793636599593194,149.0122922194878,3004.989318069114,5642133.271198419,1.0,283863,201032,176667,1856.24340201,1882.23898822,1776.45045819,1877.58846172,654157.9709222789,1068108,149.15626309
2023-07-31,0.0685358725608067,127.2825283700075,3021.404737394805,5611251.74066366,1.0,332844,246310,193317,1861.87528452,1884.27255843,1836.93305,1857.16652629,298464.7508738197,1048101,146.40326861
2023-07-30,0.089569843155986,166.7712145290774,2728.940579998432,5081048.6975114,1.0,304170,235014,178160,1880.48380562,1966.57745724,1820.65579166,1861.91254392,256379.3714672538,981157,137.3400056
2023-07-29,0.0791923819078197,149.25004585481605,2842.3789491121365,5356893.911658702,1.0,284662,210923,170259,1874.50056473,1934.66317122,1849.88229803,1884.65155687,117219.44856100388,991161,138.64330676
2023-07-28,0.119121548672653,223.6664823516377,4772.719237072192,8961412.396857098,1.0,282402,200895,175298,1862.67896162,1896.38110839,1834.81743397,1877.6324254,236456.78301204485,1014601,142.02141657
2023-07-27,0.1180801184815202,218.7416907492112,4102.781970684386,7600343.534405716,1.0,274167,195096,169200,1861.97444146,1904.25521364,1831.46401476,1852.48535962,287568.40230285213,998420,139.71732438
2023-07-26,0.1023495677734954,191.81119807580933,3519.819523301009,6596420.62455124,1.0,280296,199923,169210,1875.58168382,1917.46169593,1836.06442554,1874.07921937,428938.1171303413,1029348,143.90437579
2023-07-25,0.1229204197378124,228.3381189728643,3982.9124139678033,7398695.274380974,1.0,267694,187642,166586,1853.75942893,1881.28282282,1820.63996734,1857.60933342,246703.28212621712,990249,138.69033613
2023-07-24,0.1216874649022815,225.11469448354265,4227.9958896446415,7821545.166869377,1.0,291789,207830,171434,1888.09622321,1899.5399685,1824.38750033,1849.94152573,480403.6179184899,1036300,144.95733669
2023-07-23,0.0988913864598216,187.18596120189537,2788.909238857117,5278969.941354963,1.0,280452,214165,156940,1866.55156586,1910.76068969,1852.91631496,1892.84393619,257158.63580851012,977305,136.72425853
2023-07-22,0.0913249453283461,170.5005586113124,2620.520862214472,4892423.086088441,1.0,284458,208639,165912,1891.29703687,1919.95201712,1850.39616018,1866.96589851,242207.730275075,1004374,140.45224444
2023-07-21,0.1043640706247693,197.1080724559182,3740.347904981586,7064239.267900647,1.0,328360,226757,193785,1877.44931892,1987.80326132,1807.87176271,1888.65834071,247178.5795469094,1110882,155.58571429
2023-07-20,0.1079352240700879,202.992148274578,3551.8119131241187,6679839.10464787,1.0,292874,203111,184737,1823.3210217,1929.61398314,1802.75016755,1880.68492027,474233.6993354095,1049510,146.90789474
2023-07-19,0.1176375189041005,222.1838950707935,3501.694663072687,6613707.657540368,1.0,328504,227847,198780,1829.71910262,1918.38517139,1800.45205214,1888.71626281,398611.0449421746,1093783,153.4272689
2023-07-18,0.0886289207111835,167.52161052935546,3783.5558616621374,7151473.42862143,1.0,349351,235144,218559,1910.39399789,1917.53516014,1808.03435729,1890.14611918,412509.65197152,1175963,164.97797419
2023-07-17,0.1024692535490124,195.16726333252785,3005.713156552187,5724808.084468743,1.0,272201,187553,171749,1921.50019331,1936.46035639,1807.46477009,1904.64218849,489815.4402178004,1036419,145.21773855
2023-07-16,0.0876499291721748,161.42739146881206,2276.1724111098683,4192092.090992677,1.0,271530,193797,159830,1930.77665637,1952.33844216,1832.73880539,1841.72871551,233109.92790328583,946750,133.28875123
2023-07-15,0.0716735445321988,137.1006712582028,1973.5040281078184,3775015.296791941,1.0,299767,217212,169485,1936.41007698,1959.31142363,1838.30603881,1912.84904567,220514.91010886163,950700,134.66005666
2023-07-14,0.0860577254143723,166.37784323104094,3162.919656845705,6114962.349808588,1.0,353650,249793,198257,2011.48210441,2106.76163106,1835.25928485,1933.32838429,828227.1113108231,1110332,156.20877884
2023-07-13,0.1043190721453821,200.90437372121417,4138.8981360815305,7970956.037324851,1.0,326551,228709,193662,1874.47713704,2078.89007345,1781.11965896,1925.86426997,997833.3602935412,1121269,157.83628941
2023-07-12,0.0900376162728364,164.5020748799274,3496.496257377681,6388228.75325339,1.0,296696,206917,182819,1964.64583178,1986.19097559,1750.05065108,1827.03720611,423486.0045323284,1041317,146.47868899
2023-07-11,0.0880533378041055,163.58276078451152,2915.8237299564494,5416926.917278413,1.0,340049,246272,186754,1888.12308034,1973.87458714,1786.49925379,1857.76899393,300126.4486204354,1091428,153.41973573
2023-07-10,0.0933235968287069,175.1105438031402,2917.992543743334,5475263.261512283,1.0,338143,249629,181682,1870.43290784,1981.10314644,1763.19410708,1876.38014129,414587.1594058402,1057858,148.93115585
2023-07-09,0.0899243326674979,159.99949111112602,2449.5099737810488,4358334.80939748,1.0,273766,198140,161638,1866.33997656,1964.88370458,1762.99270916,1779.26803975,211701.7451582133,954379,134.19277278
2023-07-08,0.0818171151547379,152.63571521150618,2585.623054516157,4823665.848484498,1.0,281292,201012,175190,1881.81066824,1956.19384776,1760.99725712,1865.57195182,208066.42506537915,1014086,142.56797413
